pdb1,pdb2,start1,end1,start2,end2,tmscore,len1,len2,raw_score,helix,sheet,loop,class1,arch1,topo1,sfam1,class2,arch2,topo2,sfam2
4kmf_A,2ecs_A,20,50,13,41,0.6099,30,28,16736,0.774907749,0.084870849,0.140221402,1,10,10,10,3,30,240,10
5d90_B,3f0p_A,2,32,36,64,0.56873,30,28,16732,0.701492537,0.018656716,0.279850746,1,10,1660,10,2,40,10,490
2rdp_A,2ecs_A,53,83,13,43,0.55086,30,30,16728,0.809701493,0.041044776,0.149253731,1,10,10,10,3,30,240,10
3ppb_A,2ecs_A,29,56,14,41,0.58086,27,27,16713,0.886554622,0.008403361,0.105042017,1,10,357,10,3,30,240,10
2wus_S,2ecs_A,19,48,13,42,0.6237,29,29,16713,0.650557621,0.011152416,0.338289963,1,10,260,40,3,30,240,10
3zmd_A,5exv_C,42,83,4,42,0.55714,41,38,16710,0.811170213,0.10106383,0.087765957,1,10,10,10,3,40,1570,10
2vge_A,2vkn_A,776,820,22,63,0.723,44,41,16710,0,0.448113208,0.551886792,1,25,40,20,2,30,30,40
3omt_A,2qfc_A,7,66,7,65,0.73509,59,58,16710,0.785330948,0,0.214669052,1,10,260,40,1,25,40,10
2pfb_B,2ecs_A,61,91,13,43,0.56777,30,30,16705,0.773234201,0.104089219,0.12267658,1,10,10,10,3,30,240,10
3zkc_A,2ecs_A,6,40,7,39,0.59109,34,32,16704,0.82428115,0,0.17571885,1,10,260,40,3,30,240,10
3f51_C,3e6d_B,41,70,169,198,0.58522,29,29,16703,0.764478764,0.015444015,0.22007722,1,10,260,40,2,60,120,1460
1p4w_A,5exv_C,150,189,2,42,0.64229,39,40,16703,0.862660944,0,0.137339056,1,10,10,10,3,40,1570,10
5aqc_B,2ecs_A,58,85,14,41,0.60665,27,27,16695,0.886178862,0.008130081,0.105691057,1,10,357,10,3,30,240,10
3ucs_A,5exv_C,6,30,16,42,0.5555,24,26,16692,0.821100917,0,0.178899083,1,10,1660,10,3,40,1570,10
3eus_B,3f0p_A,18,52,29,64,0.58512,34,35,16688,0.746081505,0.003134796,0.250783699,1,10,260,40,2,40,10,490
4yba_A,2ecs_A,22,50,13,41,0.68095,28,28,16688,0.767068273,0.008032129,0.224899598,1,10,260,40,3,30,240,10
2vge_A,2lmj_A,767,817,15,63,0.77089,50,48,16681,0.006276151,0.39748954,0.59623431,1,25,40,20,2,30,30,40
5fgm_A,2ecs_A,170,199,13,42,0.62035,29,29,16678,0.892193309,0.011152416,0.096654275,1,10,10,10,3,30,240,10
4z5h_A,2ecs_A,25,51,13,40,0.61721,26,27,16675,0.869747899,0.004201681,0.12605042,1,10,260,40,3,30,240,10
2gxg_A,5exv_C,35,73,3,42,0.66694,38,39,16672,0.819767442,0,0.180232558,1,10,10,10,3,40,1570,10
4xrf_A,2ecs_A,51,81,13,43,0.59636,30,30,16672,0.774907749,0.103321033,0.121771218,1,10,10,10,3,30,240,10
4hw0_C,2mp8_A,31,56,2,27,0.61741,25,25,16667,0.808888889,0.106666667,0.084444444,1,10,10,10,1,20,225,10
3eus_B,5exv_C,18,49,11,42,0.6179,31,31,16666,0.828070175,0,0.171929825,1,10,260,40,3,40,1570,10
1fip_A,2y1h_B,71,97,244,270,0.56401,26,26,16664,0.845833333,0,0.154166667,1,10,10,60,3,20,20,140
5d4s_B,2ecs_A,27,56,14,43,0.59119,29,29,16657,0.840304183,0.015209125,0.144486692,1,10,10,10,3,30,240,10
3qq6_A,2qfc_A,10,68,14,70,0.70747,58,56,16649,0.752436647,0,0.247563353,1,10,260,40,1,25,40,10
3ucs_A,3f0p_A,6,35,33,64,0.60347,29,31,16647,0.698841699,0.003861004,0.297297297,1,10,1660,10,2,40,10,490
2vge_A,2djq_A,767,817,12,59,0.74535,50,47,16646,0,0.396226415,0.603773585,1,25,40,20,2,30,30,40
1rzs_A,3f0p_A,7,37,32,64,0.56123,30,32,16641,0.802348337,0.001956947,0.195694716,1,10,260,40,2,40,10,490
3nrv_B,2ecs_A,46,76,13,43,0.60155,30,30,16634,0.840304183,0.015209125,0.144486692,1,10,10,10,3,30,240,10
5k98_B,2ecs_A,18,53,8,41,0.61185,35,33,16631,0.78125,0.00625,0.2125,1,10,260,40,3,30,240,10
2a61_B,2ph0_B,42,73,8,38,0.56097,31,30,16624,0.866894198,0,0.133105802,1,10,10,10,3,40,1570,10
4wcg_A,2ph0_B,229,260,8,38,0.58314,31,30,16620,0.880866426,0,0.119133574,1,10,10,10,3,40,1570,10
2hin_A,2ecs_A,10,38,14,42,0.76789,28,28,16619,0.857142857,0.010714286,0.132142857,1,10,260,40,3,30,240,10
5fo5_A,2ecs_A,18,45,14,42,0.63848,27,28,16617,0.894736842,0.012145749,0.093117409,1,10,10,10,3,30,240,10
3cec_A,5exv_C,23,55,12,42,0.57788,32,30,16600,0.851735016,0,0.148264984,1,10,260,40,3,40,1570,10
3ppb_A,5exv_C,17,52,10,42,0.56463,35,32,16599,0.805369128,0,0.194630872,1,10,357,10,3,40,1570,10
2vge_A,2v1r_A,764,819,18,77,0.825,55,59,16587,0,0.399246704,0.600753296,1,25,40,20,2,30,30,40
3gxq_A,3tfg_A,25,59,46,79,0.64477,34,33,16586,0.892405063,0,0.107594937,1,10,1220,10,3,90,1520,10
3gxq_A,3sj5_A,25,59,46,79,0.5538,34,33,16586,0.892744479,0,0.107255521,1,10,1220,10,3,90,1520,10
2k9l_A,3e6d_B,105,135,169,197,0.55126,30,28,16580,0.769369369,0.007207207,0.223423423,1,10,10,1330,2,60,120,1460
2eby_B,2ecs_A,29,58,12,40,0.69278,29,28,16579,0.762962963,0.003703704,0.233333333,1,10,260,40,3,30,240,10
4ggg_A,2ecs_A,39,68,13,42,0.60766,29,29,16576,0.822393822,0.011583012,0.166023166,1,10,10,10,3,30,240,10
3cec_A,2ecs_A,30,57,13,41,0.6866,27,28,16572,0.779850746,0.007462687,0.212686567,1,10,260,40,3,30,240,10
2yve_B,2ecs_A,25,53,14,43,0.60002,28,29,16571,0.877470356,0.015810277,0.106719368,1,10,357,10,3,30,240,10
3zmd_A,2ecs_A,59,93,13,43,0.5654,34,30,16565,0.60815047,0.250783699,0.141065831,1,10,10,10,3,30,240,10
2eby_B,2qfc_A,21,79,8,65,0.68636,58,57,16553,0.839708561,0,0.160291439,1,10,260,40,1,25,40,10
2ox6_D,5exv_C,15,46,14,42,0.60756,31,28,16552,0.772893773,0,0.227106227,1,10,3100,10,3,40,1570,10
4wcg_A,2ecs_A,232,265,12,43,0.58733,33,31,16551,0.819112628,0.013651877,0.167235495,1,10,10,10,3,30,240,10
4r24_B,2ecs_A,13,41,13,41,0.61036,28,28,16534,0.743494424,0.007434944,0.249070632,1,10,1660,10,3,30,240,10
2m8g_X,2ecs_A,466,495,14,42,0.57532,29,28,16534,0.761811024,0.005905512,0.232283465,1,10,10,60,3,30,240,10
1fip_A,2ph0_B,63,94,8,38,0.57328,31,30,16529,0.885017422,0,0.114982578,1,10,10,60,3,40,1570,10
3anp_B,2ecs_A,30,57,14,41,0.57197,27,27,16507,0.844621514,0.007968127,0.147410359,1,10,357,10,3,30,240,10
2an7_A,4u9b_A,10,42,45,77,0.55147,32,32,16491,0.842201835,0,0.157798165,1,10,1220,50,3,90,1520,10
3bni_B,2ecs_A,42,69,14,41,0.567,27,27,16486,0.866396761,0.008097166,0.125506073,1,10,357,10,3,30,240,10
1qgp_A,4rgd_A,162,187,2,27,0.59262,25,25,16478,0.732758621,0.125,0.142241379,1,10,10,10,1,20,225,10
3kp7_A,5exv_C,36,73,4,42,0.58111,37,38,16467,0.836923077,0,0.163076923,1,10,10,10,3,40,1570,10
2zhg_A,2ecs_A,11,39,13,40,0.63831,28,27,16461,0.742616034,0.004219409,0.253164557,1,10,1660,10,3,30,240,10
3mky_P,2y1h_B,176,202,244,270,0.61347,26,26,16454,0.88,0,0.12,1,10,10,2830,3,20,20,140
3col_B,2ecs_A,28,54,14,40,0.62223,26,26,16444,0.824074074,0.00462963,0.171296296,1,10,357,10,3,30,240,10
3bd1_B,2ecs_A,11,40,13,42,0.6921,29,29,16437,0.871485944,0.012048193,0.116465863,1,10,260,40,3,30,240,10
3kz3_A,2ecs_A,29,56,13,40,0.70369,27,27,16429,0.739910314,0.004484305,0.255605381,1,10,260,40,3,30,240,10
1jhg_A,2y1h_B,65,93,244,270,0.55173,28,26,16428,0.777301927,0,0.222698073,1,10,1270,10,3,20,20,140
1q1h_A,5exv_C,17,56,4,42,0.58075,39,38,16424,0.786516854,0,0.213483146,1,10,10,10,3,40,1570,10
1qgp_A,5exv_C,139,178,6,42,0.55533,39,36,16413,0.806451613,0.08797654,0.105571848,1,10,10,10,3,40,1570,10
3eus_B,2ecs_A,24,53,12,41,0.68644,29,29,16407,0.713754647,0.007434944,0.278810409,1,10,260,40,3,30,240,10
1u2w_D,2ph0_B,50,80,8,38,0.55151,30,30,16365,0.835249042,0,0.164750958,1,10,10,10,3,40,1570,10
2wui_A,5exv_C,21,54,11,42,0.5523,33,31,16363,0.542435424,0,0.457564576,1,10,357,10,3,40,1570,10
1y9b_A,4nyq_A,11,40,120,146,0.57581,29,26,16357,0.820833333,0.054166667,0.125,1,20,5,780,2,40,128,20
5aqc_B,5exv_C,49,82,13,42,0.59147,33,29,16344,0.893238434,0,0.106761566,1,10,357,10,3,40,1570,10
2x48_A,2ecs_A,31,56,13,40,0.72952,25,27,16343,0.845454545,0.004545455,0.15,1,10,10,60,3,30,240,10
1r69_A,2qfc_A,3,62,7,66,0.76313,59,59,16333,0.667304015,0,0.332695985,1,10,260,40,1,25,40,10
5cyv_A,2ph0_B,45,76,8,38,0.61701,31,30,16331,0.76744186,0.058139535,0.174418605,1,10,10,10,3,40,1570,10
3qq6_A,5exv_C,10,37,15,42,0.55152,27,27,16329,0.841463415,0,0.158536585,1,10,260,40,3,40,1570,10
3gw2_A,5exv_C,25,61,5,42,0.59009,36,37,16324,0.809836066,0.052459016,0.137704918,1,10,10,10,3,40,1570,10
3bd1_A,3e6d_B,11,40,169,202,0.5667,29,33,16323,0.859375,0.015625,0.125,1,10,260,40,2,60,120,1460
4eef_H,2iw5_B,9,54,381,422,0.7391,45,41,16322,0.653958944,0,0.346041056,1,10,10,60,1,20,58,1880
2r1j_L,2ecs_A,18,45,13,40,0.688,27,27,16321,0.761316872,0.004115226,0.234567901,1,10,260,40,3,30,240,10
2qww_C,4rgd_A,61,86,2,27,0.58636,25,25,16315,0.734299517,0.120772947,0.144927536,1,10,10,10,1,20,225,10
2ox6_D,2ecs_A,13,49,8,42,0.65182,36,34,16304,0.79245283,0.009433962,0.198113208,1,10,3100,10,3,30,240,10
1r1t_A,2ph0_B,54,83,8,38,0.60523,29,30,16303,0.794354839,0,0.205645161,1,10,10,10,3,40,1570,10
2xi8_A,2ph0_B,8,39,6,36,0.58565,31,30,16287,0.745033113,0,0.254966887,1,10,260,40,3,40,1570,10
4b8x_B,2mp8_A,80,107,2,27,0.61173,27,25,16286,0.773584906,0.120754717,0.105660377,1,10,10,10,1,20,225,10
2fxa_A,2y1h_B,60,87,244,270,0.55833,27,26,16283,0.882783883,0.04029304,0.076923077,1,10,10,10,3,20,20,140
3fym_A,5exv_C,1009,1039,11,42,0.57293,30,31,16282,0.878378378,0,0.121621622,1,10,260,40,3,40,1570,10
3vwb_A,5exv_C,139,174,8,42,0.64461,35,34,16282,0.871710526,0,0.128289474,1,10,10,2830,3,40,1570,10
3f51_C,2ph0_B,35,66,8,38,0.5531,31,30,16280,0.843971631,0,0.156028369,1,10,260,40,3,40,1570,10
3mky_P,2ph0_B,170,201,8,38,0.61163,31,30,16278,0.83032491,0,0.16967509,1,10,10,2830,3,40,1570,10
2v57_A,2ecs_A,30,59,13,41,0.55632,29,28,16270,0.828,0.008,0.164,1,10,357,10,3,30,240,10
1fip_A,2ecs_A,71,98,13,41,0.72223,27,28,16268,0.800796813,0.007968127,0.19123506,1,10,10,60,3,30,240,10
3eus_B,2ph0_B,19,49,8,38,0.6144,30,30,16263,0.813186813,0,0.186813187,1,10,260,40,3,40,1570,10
4i6r_A,2ph0_B,18,45,11,38,0.57015,27,27,16263,0.863636364,0,0.136363636,1,10,260,40,3,40,1570,10
2a6c_A,2ecs_A,19,46,13,41,0.65832,27,28,16251,0.880165289,0.008264463,0.111570248,1,10,260,40,3,30,240,10
1wa3_D,1dz3_A,124,179,48,106,0.64958,55,58,16234,0.447033898,0.216101695,0.336864407,3,20,20,70,3,40,50,2300
5d4s_B,2ph0_B,25,50,13,38,0.63158,25,25,16233,0.791489362,0,0.208510638,1,10,10,10,3,40,1570,10
2oqg_C,4rgd_A,39,64,2,27,0.61582,25,25,16233,0.781659389,0.096069869,0.122270742,1,10,10,10,1,20,225,10
2mlg_A,3t5v_A,11,54,457,502,0.55107,43,45,16226,0.770653514,0.162762022,0.066584464,1,10,10,10,1,25,40,990
4hv0_C,4u9b_A,7,40,45,78,0.60484,33,33,16223,0.882539683,0,0.117460317,1,10,1220,10,3,90,1520,10
1zs4_C,2ph0_B,17,47,8,38,0.59305,30,30,16222,0.117957746,0,0.871478873,1,10,260,40,3,40,1570,10
3qao_A,2ecs_A,-2,25,14,41,0.55764,27,27,16221,0.795275591,0.007874016,0.196850394,1,10,1660,10,3,30,240,10
4cgr_B,5exv_C,41,75,10,42,0.56872,34,32,16217,0.806020067,0,0.193979933,1,10,357,10,3,40,1570,10
1fse_B,5exv_C,15,53,6,42,0.69519,38,36,16214,0.885245902,0,0.114754098,1,10,10,10,3,40,1570,10
3pvv_A,2ph0_B,450,481,8,38,0.63081,31,30,16200,0.857142857,0,0.142857143,1,10,1750,10,3,40,1570,10
4rs8_A,5exv_C,19,50,10,42,0.57209,31,32,16185,0.866438356,0.078767123,0.054794521,1,10,10,10,3,40,1570,10
3cec_A,2ph0_B,28,55,12,38,0.5812,27,26,16167,0.817164179,0,0.182835821,1,10,260,40,3,40,1570,10
1g2h_A,3txn_A,24,60,334,372,0.56408,36,38,16167,0.829457364,0.004651163,0.165891473,1,10,10,60,1,25,40,570
2a6c_A,2ph0_B,16,43,11,38,0.64456,27,27,16165,0.838842975,0,0.161157025,1,10,260,40,3,40,1570,10
1wa3_D,3heb_A,124,179,63,122,0.68564,55,59,16161,0.441860465,0.209302326,0.348837209,3,20,20,70,3,40,50,2300
3ulq_B,2ecs_A,168,196,13,41,0.70872,28,28,16157,0.888888889,0.007662835,0.103448276,1,10,10,10,3,30,240,10
1j9i_A,2ecs_A,3,28,14,40,0.62431,25,26,16155,0.725225225,0.06981982,0.204954955,1,10,10,10,3,30,240,10
5fgm_A,3txn_A,162,201,335,375,0.64248,39,40,16149,0.88101983,0.008498584,0.110481586,1,10,10,10,1,25,40,570
4nn1_A,5exv_C,17,49,11,42,0.55572,32,31,16147,0.863468635,0,0.136531365,1,10,357,10,3,40,1570,10
4pu7_A,2ecs_A,42,70,13,42,0.6824,28,29,16140,0.789690722,0.006185567,0.204123711,1,10,260,40,3,30,240,10
1sfx_B,2ecs_A,32,63,12,43,0.5834,31,31,16136,0.78343949,0.117834395,0.098726115,1,10,10,10,3,30,240,10
3hug_E,2ecs_A,138,166,13,42,0.70875,28,29,16129,0.866396761,0.012145749,0.12145749,1,10,10,10,3,30,240,10
1ucr_B,4rgd_A,28,54,2,27,0.56249,26,25,16128,0.723484848,0.109848485,0.166666667,1,10,10,10,1,20,225,10
3hug_E,5exv_C,127,161,7,42,0.70458,34,35,16119,0.821316614,0,0.178683386,1,10,10,10,3,40,1570,10
2eby_B,3f0p_A,26,57,30,65,0.63188,31,35,16118,0.791946309,0.006711409,0.201342282,1,10,260,40,2,40,10,490
4hf0_B,4rgd_A,32,57,2,27,0.59953,25,25,16112,0.825531915,0.080851064,0.093617021,1,10,10,10,1,20,225,10
4l5e_A,2y1h_B,412,438,244,270,0.55155,26,26,16111,0.852941176,0,0.147058824,1,10,10,60,3,20,20,140
2b5a_A,2ecs_A,23,53,14,43,0.66607,30,29,16106,0.757352941,0.014705882,0.227941176,1,10,260,40,3,30,240,10
5duk_B,2ecs_A,25,56,12,43,0.59672,31,31,16104,0.805280528,0.03960396,0.155115512,1,10,10,10,3,30,240,10
4xrf_A,2ph0_B,45,75,8,38,0.61399,30,30,16103,0.856617647,0.0625,0.080882353,1,10,10,10,3,40,1570,10
3gpv_A,5exv_C,20,45,17,42,0.63749,25,25,16092,0.755102041,0,0.244897959,1,10,1660,10,3,40,1570,10
2hbp_A,2khi_A,14,49,277,312,0.57843,35,35,16078,0.068259386,0.571672355,0.360068259,2,30,30,700,2,40,50,140
3fym_A,2ecs_A,1016,1043,13,40,0.66252,27,27,16077,0.87593985,0.003759398,0.120300752,1,10,260,40,3,30,240,10
5hs7_B,4rgd_A,39,65,2,27,0.59884,26,25,16076,0.724,0.108,0.168,1,10,10,10,1,20,225,10
1tc3_C,2ecs_A,222,252,13,43,0.61351,30,30,16076,0.614840989,0.014134276,0.371024735,1,10,10,60,3,30,240,10
3f52_A,2ph0_B,35,65,8,38,0.59805,30,30,16074,0.816849817,0,0.183150183,1,10,260,40,3,40,1570,10
1wa3_D,3kyj_B,124,179,49,107,0.55465,55,58,16054,0.435146444,0.211297071,0.353556485,3,20,20,70,3,40,50,2300
3kz9_D,2ph0_B,29,61,7,36,0.5646,32,29,16047,0.828070175,0,0.171929825,1,10,357,10,3,40,1570,10
2mez_A,2ph0_B,30,60,9,38,0.56154,30,29,16046,0.740331492,0,0.259668508,1,10,260,40,3,40,1570,10
2mqk_A,2ecs_A,17,44,13,42,0.70156,27,29,16046,0.695175439,0.006578947,0.298245614,1,10,260,40,3,30,240,10
1bby_A,4b0z_A,184,226,173,216,0.56099,42,43,16045,0.641485275,0.175416133,0.183098592,1,10,10,10,1,25,40,990
3kz3_A,2ph0_B,24,53,8,38,0.63382,29,30,16038,0.830645161,0,0.169354839,1,10,260,40,3,40,1570,10
3vwb_A,2ecs_A,148,175,13,40,0.74642,27,27,16037,0.863247863,0.002136752,0.134615385,1,10,10,2830,3,30,240,10
1rzs_A,2ecs_A,12,36,14,39,0.58972,24,25,16029,0.766009852,0,0.233990148,1,10,260,40,3,30,240,10
1wa3_D,3hzh_A,124,179,72,129,0.66671,55,57,16028,0.450106157,0.208067941,0.341825902,3,20,20,70,3,40,50,2300
3fv6_A,3ghd_A,88,133,17,61,0.82364,45,44,16021,0.4725,0.3,0.2275,3,10,580,10,3,90,1280,20
4l5e_A,2ph0_B,406,437,8,38,0.55113,31,30,16011,0.895695364,0,0.104304636,1,10,10,60,3,40,1570,10
4j2n_C,2ecs_A,5,32,14,41,0.73943,27,27,16006,0.775423729,0.050847458,0.173728814,1,10,1660,10,3,30,240,10
2x48_A,3f0p_A,23,56,27,61,0.64626,33,34,15989,0.877133106,0,0.122866894,1,10,10,60,2,40,10,490
1xsv_A,2ecs_A,39,67,13,41,0.66355,28,28,15981,0.874524715,0.007604563,0.117870722,1,10,10,10,3,30,240,10
3f51_C,5exv_C,34,65,12,42,0.61626,31,30,15963,0.883802817,0,0.116197183,1,10,260,40,3,40,1570,10
3gpv_A,2ph0_B,19,44,13,38,0.57961,25,25,15961,0.755186722,0,0.244813278,1,10,1660,10,3,40,1570,10
5eri_A,2ph0_B,63,93,8,38,0.58955,30,30,15955,0.836431227,0.059479554,0.104089219,1,10,10,10,3,40,1570,10
3mlf_B,2ph0_B,8,36,10,38,0.58086,28,28,15955,0.821292776,0,0.178707224,1,10,260,40,3,40,1570,10
4ggg_A,2cw1_A,37,69,11,43,0.5581,32,32,15945,0.79787234,0.028368794,0.173758865,1,10,10,10,3,30,240,10
2wui_A,2ph0_B,31,57,14,38,0.58308,26,24,15940,0.483412322,0,0.516587678,1,10,357,10,3,40,1570,10
4hv0_C,3tfg_A,7,44,46,86,0.56022,37,40,15935,0.835294118,0,0.164705882,1,10,1220,10,3,90,1520,10
4kmf_A,2ph0_B,14,44,8,38,0.5717,30,30,15902,0.84469697,0.053030303,0.102272727,1,10,10,10,3,40,1570,10
2xk0_A,4zgn_B,20,61,454,492,0.61742,41,38,15901,0,0.58668516,0.41331484,2,30,30,140,2,40,30,10
1r7j_A,4rgd_A,27,52,2,27,0.5866,25,25,15887,0.769874477,0.117154812,0.112970711,1,10,10,10,1,20,225,10
1oai_A,5eka_A,569,597,10,38,0.60235,28,28,15886,0.885185185,0,0.114814815,1,10,8,10,4,10,520,10
3vep_H,2ecs_A,173,203,13,43,0.64414,30,30,15881,0.896825397,0.015873016,0.087301587,1,10,10,10,3,30,240,10
2mlg_A,2cw1_A,17,51,11,43,0.58441,34,32,15870,0.815359477,0.10130719,0.083333333,1,10,10,10,3,30,240,10
1wa3_D,4zyl_B,124,179,63,122,0.6636,55,59,15860,0.442105263,0.212631579,0.345263158,3,20,20,70,3,40,50,2300
3txn_A,5exv_C,334,367,9,42,0.59785,33,33,15850,0.774834437,0.089403974,0.135761589,1,25,40,570,3,40,1570,10
2heo_A,2cw1_A,124,158,11,43,0.5816,34,32,15845,0.793846154,0.061538462,0.144615385,1,10,10,10,3,30,240,10
2g7s_A,2cw1_A,27,53,14,41,0.55695,26,27,15843,0.888888889,0,0.111111111,1,10,357,10,3,30,240,10
2yve_B,5exv_C,12,48,9,42,0.56032,36,33,15835,0.809968847,0,0.190031153,1,10,357,10,3,40,1570,10
1wa3_D,3gt7_A,124,179,55,114,0.61921,55,59,15824,0.443037975,0.208860759,0.348101266,3,20,20,70,3,40,50,2300
3ulq_B,2ph0_B,164,192,8,38,0.60478,28,30,15818,0.873563218,0,0.126436782,1,10,10,10,3,40,1570,10
4hv0_C,3sj5_A,7,40,46,79,0.62764,33,33,15815,0.882911392,0,0.117088608,1,10,1220,10,3,90,1520,10
1r7j_A,2mp8_A,27,52,2,27,0.61114,25,25,15812,0.768907563,0.117647059,0.113445378,1,10,10,10,1,20,225,10
3bd1_A,2cw1_A,9,40,11,42,0.57798,31,31,15811,0.870848708,0,0.129151292,1,10,260,40,3,30,240,10
1yad_B,3kht_A,138,176,78,119,0.59009,38,41,15801,0.589905363,0.192429022,0.217665615,3,20,20,70,3,40,50,2300
2vge_A,3ulr_B,765,815,497,544,0.78783,50,47,15795,0,0.397916667,0.602083333,1,25,40,20,2,30,30,40
1zs4_C,3txn_A,18,52,340,375,0.56114,34,35,15790,0.122670807,0.00931677,0.858695652,1,10,260,40,1,25,40,570
4hw0_C,4rgd_A,31,56,2,27,0.57629,25,25,15787,0.809734513,0.10619469,0.084070796,1,10,10,10,1,20,225,10
3egq_A,2ph0_B,21,48,12,38,0.57062,27,26,15780,0.893004115,0,0.106995885,1,10,357,10,3,40,1570,10
2d1h_B,2ph0_B,25,56,8,38,0.56857,31,30,15777,0.85,0,0.15,1,10,10,10,3,40,1570,10
3hug_E,2y1h_B,138,165,244,270,0.57867,27,26,15777,0.881355932,0,0.118644068,1,10,10,10,3,20,20,140
3fym_A,2cw1_A,1012,1042,10,40,0.55408,30,30,15776,0.879598662,0,0.120401338,1,10,260,40,3,30,240,10
1fc3_B,3e6d_B,188,220,170,202,0.55561,32,32,15774,0.890365449,0.013289037,0.096345515,1,10,10,10,2,60,120,1460
2a61_B,2cw1_A,48,76,13,41,0.55243,28,28,15774,0.835294118,0,0.164705882,1,10,10,10,3,30,240,10
5hs7_B,2mp8_A,39,65,2,27,0.55122,26,25,15766,0.722891566,0.108433735,0.168674699,1,10,10,10,1,20,225,10
5d90_B,2ecs_A,2,31,13,42,0.64778,29,29,15762,0.713207547,0.011320755,0.275471698,1,10,1660,10,3,30,240,10
1wa3_D,3c3m_A,124,179,46,105,0.58227,55,59,15752,0.429752066,0.212809917,0.357438017,3,20,20,70,3,40,50,2300
1tc3_C,3txn_A,214,252,334,375,0.57692,38,41,15749,0.665738162,0.008356546,0.325905292,1,10,10,60,1,25,40,570
4pu7_A,2qfc_A,32,90,8,66,0.66723,58,58,15742,0.778361345,0.048319328,0.173319328,1,10,260,40,1,25,40,10
2hin_A,2ph0_B,8,35,12,38,0.63015,27,26,15728,0.873646209,0,0.126353791,1,10,260,40,3,40,1570,10
3m8e_B,4rgd_A,47,72,2,27,0.55758,25,25,15718,0.703056769,0.109170306,0.187772926,1,10,10,10,1,20,225,10
5d4s_B,4rgd_A,33,58,2,27,0.59045,25,25,15718,0.823275862,0.086206897,0.090517241,1,10,10,10,1,20,225,10
4cgr_B,2ph0_B,44,76,8,38,0.56101,32,30,15717,0.789473684,0,0.210526316,1,10,357,10,3,40,1570,10
4ghj_B,2ph0_B,21,49,10,38,0.60798,28,28,15702,0.782101167,0,0.217898833,1,10,260,40,3,40,1570,10
2vge_A,2dmo_A,770,817,17,61,0.73218,47,44,15698,0,0.427272727,0.572727273,1,25,40,20,2,30,30,40
2ef8_B,2ph0_B,23,50,11,38,0.61581,27,27,15683,0.823770492,0,0.176229508,1,10,260,40,3,40,1570,10
2x48_A,2ph0_B,30,55,12,38,0.65655,25,26,15682,0.831896552,0,0.168103448,1,10,10,60,3,40,1570,10
5eri_A,4rgd_A,76,102,2,27,0.59562,26,25,15672,0.753191489,0.140425532,0.106382979,1,10,10,10,1,20,225,10
4kt5_C,4b0z_A,30,63,177,211,0.56369,33,34,15671,0.800623053,0.009345794,0.190031153,1,10,10,10,1,25,40,990
3mky_P,5exv_C,164,201,7,42,0.6127,37,35,15665,0.863221884,0,0.136778116,1,10,10,2830,3,40,1570,10
5fgm_A,5exv_C,157,196,5,42,0.66468,39,37,15662,0.891061453,0,0.108938547,1,10,10,10,3,40,1570,10
4lhf_A,2ph0_B,9,35,12,38,0.57927,26,26,15650,0.769230769,0.085470085,0.145299145,1,10,1660,70,3,40,1570,10
2a61_B,2mp8_A,55,83,2,27,0.60088,28,25,15649,0.709163347,0.15936255,0.131474104,1,10,10,10,1,20,225,10
4j2n_C,2ph0_B,3,28,13,38,0.69667,25,25,15649,0.805429864,0.07239819,0.122171946,1,10,1660,10,3,40,1570,10
2o3f_A,2ecs_A,36,65,14,43,0.65623,29,29,15639,0.807843137,0.015686275,0.176470588,1,10,10,10,3,30,240,10
2nnn_C,5exv_C,37,76,4,42,0.56306,39,38,15639,0.87797619,0.038690476,0.083333333,1,10,10,10,3,40,1570,10
5fo5_A,4rgd_A,23,48,2,27,0.56497,25,25,15634,0.792682927,0,0.207317073,1,10,10,10,1,20,225,10
1wa3_D,3cz5_C,124,179,51,108,0.7028,55,57,15634,0.447983015,0.208067941,0.343949045,3,20,20,70,3,40,50,2300
1wa3_D,3kht_A,124,179,60,119,0.63856,55,59,15631,0.44820296,0.207188161,0.344608879,3,20,20,70,3,40,50,2300
3anp_B,2ph0_B,21,53,8,38,0.57389,32,30,15629,0.765472313,0,0.234527687,1,10,357,10,3,40,1570,10
3b73_B,4rgd_A,36,58,5,27,0.55066,22,22,15621,0.671428571,0.114285714,0.214285714,1,10,10,10,1,20,225,10
4j2n_C,5exv_C,3,27,18,42,0.67617,24,24,15618,0.837962963,0.074074074,0.087962963,1,10,1660,10,3,40,1570,10
2zcm_A,2ph0_B,20,45,13,38,0.55914,25,25,15615,0.814345992,0,0.185654008,1,10,357,10,3,40,1570,10
5fgm_A,2ph0_B,165,195,8,38,0.57521,30,30,15601,0.847014925,0,0.152985075,1,10,10,10,3,40,1570,10
1wa3_D,2qsj_B,124,179,48,105,0.68777,55,57,15596,0.44924406,0.215982721,0.334773218,3,20,20,70,3,40,50,2300
4nvs_A,5exv_C,123,156,8,42,0.59075,33,34,15591,0.828382838,0,0.171617162,3,10,180,10,3,40,1570,10
3fym_A,4nvs_A,1012,1040,130,157,0.61181,28,27,15570,0.876811594,0,0.123188406,1,10,260,40,3,10,180,10
2ooa_A,4omj_A,943,967,35,59,0.61225,24,24,15570,0.843049327,0,0.156950673,1,10,8,10,3,40,525,10
